base_property,direction_variant,direction_space,decode_mode,seed_index,seed_band,seed_canonical_smiles,seed_raw_property,target_metric_name,confound_name,delta_step_std_effective,target_total_span_std,fixed_span_scale_vs_nominal,predicted_delta_prop_path_end,pack_size,step_count,dp_path_total_cost,greedy_medoid_total_cost,dp_beats_or_matches_medoid,target_spearman,target_slope,target_monotonic_violation_count,validity_fraction,uniqueness_fraction_valid,path_unique_canonical_count,path_constant_across_steps,path_similarity_to_seed_mean,path_similarity_to_seed_end,adjacent_step_tanimoto_mean,adjacent_step_tanimoto_median,confound_spearman,confound_slope,confound_delta_end_start,selfies_len_tokens_spearman,selfies_len_tokens_slope,selfies_len_tokens_delta_end_start,ring_token_count_spearman,ring_token_count_slope,ring_token_count_delta_end_start,branch_token_count_spearman,branch_token_count_slope,branch_token_count_delta_end_start,token_entropy_spearman,token_entropy_slope,token_entropy_delta_end_start,heavy_atom_delta_end_start,carbon_delta_end_start,heteroatom_delta_end_start,ring_delta_end_start,aromatic_ring_delta_end_start,heavy_atom_consistency_fraction,carbon_consistency_fraction,heteroatom_consistency_fraction,ring_consistency_fraction,aromatic_ring_consistency_fraction
TPSA,random,standardized_latent,fixed_length_seed_pred,2,high,CCOC(=O)c1c[nH]oc1=O,72.30000000000001,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,2.7238334680195146,2.7238334680195146,1.0,0.35909242322980395,0.7658895259687171,1,1.0,0.2,4,0.0,0.5682619496572985,0.23255813953488372,0.4539597737272156,0.3730358265241986,,0.0,0.0,-0.7071067811865475,-0.027125536602398415,-1.0,,0.0,0.0,,0.0,0.0,-0.8944271909999157,-0.017910884701131915,-0.6602960510483793,4.0,2.0,2.0,-1.0,0.0,1.0,1.0,0.5,1.0,
TPSA,raw,standardized_latent,free_length,3,low,BrC#CCCCCCCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,0.0,0.0,1.0,,0.0,0,1.0,0.05,1,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,,-7.618659340544192e-17,0.0,,0.0,0.0,,0.0,0.0,,-4.76166208784012e-18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
TPSA,raw,standardized_latent,fixed_length_seed_pred,3,low,BrC#CCCCCCCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,1842.8505009335204,0,5,1.25,1.25,1.0,,0.0,0,1.0,0.1,2,0.0,0.8,0.0,0.75,1.0,,0.0,0.0,-0.7071067811865475,-0.24412982942158507,-9.0,,0.0,0.0,,0.0,0.0,-0.7071067811865475,-0.02174975849549635,-0.8018185525433372,-9.0,-8.0,-1.0,0.0,0.0,1.0,1.0,1.0,,
TPSA,residual,standardized_latent,free_length,3,low,BrC#CCCCCCCBr,0.0,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,1.1785714285714286,1.1785714285714286,1.0,0.7071067811865475,0.23573834361650378,0,1.0,0.1,2,0.0,0.8114285714285714,0.05714285714285714,0.7642857142857142,1.0,,0.0,0.0,-0.7071067811865475,-0.027125536602398415,-1.0,,0.0,0.0,,0.0,0.0,-0.7071067811865475,-0.0044839701254702725,-0.16530438424852445,-1.0,1.0,-2.0,0.0,0.0,1.0,1.0,1.0,,
TPSA,residual,standardized_latent,fixed_length_seed_pred,3,low,BrC#CCCCCCCBr,0.0,resid_TPSA,branch_token_count,7.373126029968262,29.492504119873047,166.36959889735522,1862.150504354373,0,5,1.1764705882352942,1.3035714285714286,1.0,0.7071067811865475,0.12535130879783005,0,1.0,0.15,2,0.0,0.8117647058823529,0.058823529411764705,0.7647058823529411,1.0,,0.0,0.0,-0.7071067811865475,-0.027125536602398415,-1.0,0.7071067811865475,0.02712553660239833,1.0,,0.0,0.0,0.7071067811865475,0.0012712926645384215,0.04686700518307996,-2.0,0.0,-2.0,0.0,0.0,1.0,,1.0,,
TPSA,confound,standardized_latent,free_length,3,low,BrC#CCCCCCCBr,0.0,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,2.174342105263158,2.174342105263158,1.0,,0.0,0,1.0,0.15,3,0.0,0.6405263157894737,0.05263157894736842,0.56875,0.575,,0.0,0.0,0.22360679774997894,-0.06781384150599588,1.0,,0.0,0.0,,0.0,0.0,0.7826237921249264,0.01031151151304822,0.23174350166348034,-8.0,-7.0,-1.0,0.0,0.0,1.0,1.0,1.0,,
TPSA,confound,standardized_latent,fixed_length_seed_pred,3,low,BrC#CCCCCCCBr,0.0,branch_token_count,branch_token_count,7.373126029968262,29.492504119873047,68.6716929665608,93.79107309955998,0,5,1.1842105263157896,1.1842105263157896,1.0,,0.0,0,1.0,0.1,2,0.0,0.8105263157894737,0.05263157894736842,0.7631578947368421,1.0,,0.0,0.0,0.7071067811865475,0.027125536602398262,1.0,,0.0,0.0,,0.0,0.0,0.7071067811865475,0.006286166836740688,0.23174350166348034,-8.0,-7.0,-1.0,0.0,0.0,1.0,1.0,1.0,,
TPSA,random,standardized_latent,free_length,3,low,BrC#CCCCCCCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,1.171875,1.171875,1.0,-0.7071067811865475,-0.2503687028401367,0,1.0,0.1,2,0.0,0.8125,1.0,0.765625,1.0,-0.7071067811865475,-0.10850214640959335,-4.0,-0.7071067811865475,-0.4340085856383734,-16.0,-0.7071067811865475,-0.054251073204796676,-2.0,-0.7071067811865475,-0.10850214640959335,-4.0,-0.7071067811865475,-0.02207040440899292,-0.8136393661993597,-5.0,-5.0,0.0,0.0,0.0,1.0,1.0,,,
TPSA,random,standardized_latent,fixed_length_seed_pred,3,low,BrC#CCCCCCCBr,0.0,TPSA,branch_token_count,7.373126029968262,29.492504119873047,129.70836945814855,,0,5,1.7465517241379311,1.7465517241379311,1.0,-0.7071067811865475,-0.2503687028401367,0,1.0,0.15,3,0.0,0.72,1.0,0.6508620689655172,0.75,-0.7071067811865475,-0.054251073204796676,-2.0,,-7.618659340544192e-17,0.0,,0.0,0.0,-0.7071067811865475,-0.054251073204796676,-2.0,-0.7071067811865475,-0.01888066422314104,-0.696047584233658,3.0,3.0,0.0,0.0,0.0,1.0,1.0,,,
HeavyAtomCount,raw,standardized_latent,free_length,0,low,C#CC(C)Cl,5.0,HeavyAtomCount,selfies_len_tokens,7.373126029968262,29.492504119873047,59.64355983432386,204.52521258680645,0,5,3.2727272727272725,3.2727272727272725,1.0,-0.6708203932499368,-0.10850214640959335,1,1.0,0.15,3,0.0,0.6363636363636364,1.0,0.29545454545454547,0.09090909090909091,0.22360679774997894,0.5153851954455683,22.0,0.22360679774997894,0.5153851954455683,22.0,,0.0,0.0,0.28867513459481287,0.013562768301199166,1.0,0.35909242322980395,0.008905869639934815,0.9051914676590823,-2.0,-3.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,
