base_property,direction_variant,target_name,direction_space,w_raw_norm,w_std_norm,delta_prop_nominal,delta_step_std_nominal,fixed_span_scale_vs_nominal,delta_step_std_effective,expected_total_span_std,target_total_span_std,benchmark_total_span_std_ref,active_reference_step_span
ExactMolWt,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
ExactMolWt,random,ExactMolWt,standardized_latent,1.0,0.5917381048202515,24.02278989044666,0.09345113089128168,39.449100078553045,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumSpiroAtoms,raw,NumSpiroAtoms,standardized_latent,1.1287038326263428,0.25060218572616577,0.03238213833194765,0.12921730206827392,28.52994882245939,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumSpiroAtoms,residual,resid_NumSpiroAtoms,standardized_latent,1.1319520473480225,0.2510960102081299,0.0320932047535149,0.12781248386588584,28.84352845260762,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumSpiroAtoms,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumSpiroAtoms,random,NumSpiroAtoms,standardized_latent,1.0,0.6018944978713989,0.03238213833194765,0.12921730206827392,28.52994882245939,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumBridgeheadAtoms,raw,NumBridgeheadAtoms,standardized_latent,4.5133056640625,0.984732985496521,0.08725655372773382,0.08860935402071193,41.604670925853014,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumBridgeheadAtoms,residual,resid_NumBridgeheadAtoms,standardized_latent,4.715600490570068,1.0349236726760864,0.08566699259916283,0.08277614558535192,44.53653874452093,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumBridgeheadAtoms,confound,selfies_len_tokens,standardized_latent,66.56986999511719,17.22076416015625,3.158237375671086,0.1833970517393364,20.101539147008047,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
NumBridgeheadAtoms,random,NumBridgeheadAtoms,standardized_latent,1.0,0.610846996307373,0.08725655372773382,0.08860935402071193,41.604670925853014,3.686563014984131,29.492504119873047,29.492504119873047,29.492504119873047,8.0
